FusionName	JunctionReadCount	SpanningFragCount	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	JunctionReads	SpanningFrags	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	dataset	Run	Phenotype	chromtype	leftgene_symbol	rightgene_symbol	left_gene	right_gene	fusion_type	known_fusion	source	known_fusion_disease
IL1RAP--FGF12	42	21	ONLY_REF_SPLICE	IL1RAP^ENSG00000196083.10	chr3:190620440:+	FGF12^ENSG00000114279.13	chr3:192360538:-	SRR934722.703431,SRR934722.20715508,SRR934722.20659624,SRR934722.15365247,SRR934722.17822268,SRR934722.4278358,SRR934722.15424404,SRR934722.12114673,SRR934722.11549588,SRR934722.19900151,SRR934722.18422506,SRR934722.19262855,SRR934722.1672650,SRR934722.3914963,SRR934722.15269291,SRR934722.18833741,SRR934722.20483736,SRR934722.7920730,SRR934722.19638363,SRR934722.7060666,SRR934722.575397,SRR934722.8090388,SRR934722.16204240,SRR934722.10602927,SRR934722.19401749,SRR934722.17281109,SRR934722.4181153,SRR934722.12447889,SRR934722.5919358,SRR934722.752408,SRR934722.9150936,SRR934722.17325459,SRR934722.20195146,SRR934722.20645282,SRR934722.4671916,SRR934722.19247757,SRR934722.11556985,SRR934722.10686850,SRR934722.3221213,SRR934722.2595222,SRR934722.3018550,SRR934722.21351738	SRR934722.12112147,SRR934722.4359086,SRR934722.6335378,SRR934722.15580247,SRR934722.12391514,SRR934722.10317675,SRR934722.7539547,SRR934722.18610931,SRR934722.13729869,SRR934722.18251826,SRR934722.14959223,SRR934722.990225,SRR934722.20004155,SRR934722.20492623,SRR934722.13465517,SRR934722.15226674,SRR934722.10771240,SRR934722.7065953,SRR934722.527363,SRR934722.18113200,SRR934722.18271433	YES_LDAS	3.1452	GT	1.8256	AG	1.7056	[INTRACHROMOSOMAL[chr3:1.48Mb]]	SRP027383	SRR934722	Tumor	intrachrom	IL1RAP	FGF12	ENSG00000196083	ENSG00000114279	protein_protein	FGF12--IL1RAP|IL1RAP--FGF12	Fusioncatcher|Zhao	NA|glioma
MID1--ARHGAP6	10	2	ONLY_REF_SPLICE	MID1^ENSG00000101871.14	chrX:10523092:-	ARHGAP6^ENSG00000047648.23	chrX:11196996:-	SRR934730.7674457,SRR934730.9092258,SRR934730.50136,SRR934730.9165116,SRR934730.22793656,SRR934730.5833182,SRR934730.10878444,SRR934730.7696234,SRR934730.5540212,SRR934730.23195629	SRR934730.13913758,SRR934730.16716284	YES_LDAS	0.491	GT	1.9086	AG	1.4716	[ChimerSeq,TumorFusionsNAR2018,INTRACHROMOSOMAL[chrX:0.28Mb]]	SRP027383	SRR934730	Tumor	intrachrom	MID1	ARHGAP6	ENSG00000101871	ENSG00000047648	protein_protein	MID1--ARHGAP6|ARHGAP6--MID1|MID1--ARHGAP6|MID1--ARHGAP6|MID1--ARHGAP6	ChimerDB3.0_ChimerSeq|Fusioncatcher|Mitelman|Yoshihara|Zhao	BRCA|NA|Adenocarcinoma|BRCA|glioma
MTAP--C9orf92	33	10	ONLY_REF_SPLICE	MTAP^ENSG00000099810.21	chr9:21818202:+	C9orf92^ENSG00000205549.9	chr9:16215899:-	SRR934732.8693801,SRR934732.21417279,SRR934732.23273200,SRR934732.14785809,SRR934732.18217356,SRR934732.8044626,SRR934732.7486200,SRR934732.20156542,SRR934732.16317799,SRR934732.7209463,SRR934732.17999132,SRR934732.21995405,SRR934732.17285408,SRR934732.21853972,SRR934732.30012,SRR934732.2623277,SRR934732.4160509,SRR934732.7406647,SRR934732.8997190,SRR934732.6033744,SRR934732.97729,SRR934732.14963516,SRR934732.8134318,SRR934732.8427520,SRR934732.2488315,SRR934732.2581444,SRR934732.19580919,SRR934732.3155394,SRR934732.5111286,SRR934732.11704435,SRR934732.17172913,SRR934732.11538009,SRR934732.4741790	SRR934732.17920065,SRR934732.12271921,SRR934732.17537817,SRR934732.17591647,SRR934732.16058461,SRR934732.5877863,SRR934732.2362931,SRR934732.1571063,SRR934732.675713,SRR934732.20496953	YES_LDAS	1.8814	GT	1.9656	AG	1.8295	[INTRACHROMOSOMAL[chr9:5.39Mb]]	SRP027383	SRR934732	Tumor	intrachrom	MTAP	C9orf92	ENSG00000099810	ENSG00000205549	protein_protein	MTAP--C9orf92	Zhao	glioma
FARP2--DTNB	7	8	ONLY_REF_SPLICE	FARP2^ENSG00000006607.14	chr2:241373290:+	DTNB^ENSG00000138101.18	chr2:25433995:-	SRR934737.1.5453029,SRR934737.1.1443196,SRR934737.1.20901711,SRR934737.1.3972973,SRR934737.1.5308297,SRR934737.1.4649170,SRR934737.1.4231775	SRR934737.1.17337948,SRR934737.1.20349435,SRR934737.1.20194502,SRR934737.1.5816025,SRR934737.1.13423615,SRR934737.1.22373040,SRR934737.1.9537520,SRR934737.1.10447701	YES_LDAS	0.9891	GT	1.7819	AG	1.6402	[INTRACHROMOSOMAL[chr2:215.68Mb]]	SRP027383	SRR934737	Tumor	intrachrom	FARP2	DTNB	ENSG00000006607	ENSG00000138101	protein_protein	DTNB--FARP2|FARP2--DTNB	Fusioncatcher|Zhao	NA|glioma
TTC19--ADORA2B	9	9	ONLY_REF_SPLICE	TTC19^ENSG00000011295.16	chr17:16026702:+	ADORA2B^ENSG00000170425.3	chr17:15974679:+	SRR934740.1.20247034,SRR934740.1.22941834,SRR934740.1.1802094,SRR934740.1.357954,SRR934740.1.21201370,SRR934740.1.19247225,SRR934740.1.18136304,SRR934740.1.2155534,SRR934740.1.14303470	SRR934740.1.9778135,SRR934740.1.10993840,SRR934740.1.7800108,SRR934740.1.14562207,SRR934740.1.6285802,SRR934740.1.13667319,SRR934740.1.14492871,SRR934740.1.5515544,SRR934740.1.18669098	YES_LDAS	0.709	GT	1.9329	AG	1.5656	[INTRACHROMOSOMAL[chr17:0.02Mb],LOCAL_REARRANGEMENT:+:[24038]]	SRP027383	SRR934740	Tumor	intrachrom	TTC19	ADORA2B	ENSG00000011295	ENSG00000170425	protein_protein	ADORA2B--TTC19|ADORA2B--TTC19|TTC19--ADORA2B	ChimerDB3.0_ChimerSeq|Fusioncatcher|Zhao	ESCA|NA|glioma
SEC31A--SCD5	12	5	ONLY_REF_SPLICE	SEC31A^ENSG00000138674.17	chr4:82891088:-	SCD5^ENSG00000145284.12	chr4:82636823:-	SRR934744.1.272286,SRR934744.1.20356050,SRR934744.1.1091963,SRR934744.1.14458958,SRR934744.1.9669626,SRR934744.1.12220368,SRR934744.1.13397475,SRR934744.1.10656047,SRR934744.1.13295098,SRR934744.1.16057319,SRR934744.1.14548439,SRR934744.1.3488954	SRR934744.1.10391769,SRR934744.1.10892827,SRR934744.1.2215530,SRR934744.1.13013866,SRR934744.1.278585	YES_LDAS	0.8783	GT	1.9086	AG	1.9086	[TCGA_StarF2019,CCLE_StarF2019,INTRACHROMOSOMAL[chr4:0.02Mb],NEIGHBORS[19713]]	SRP027383	SRR934744	Tumor	intrachrom	SEC31A	SCD5	ENSG00000138674	ENSG00000145284	protein_protein	SEC31A--SCD5|SEC31A--SCD5	Gao_TCGA|Gao_TCGA	LUSC|OV
LINC00662--AP1M2	4	3	ONLY_REF_SPLICE	LINC00662^ENSG00000261824.7	chr19:27793000:-	AP1M2^ENSG00000129354.11	chr19:10584070:-	SRR934744.1.10130354,SRR934744.1.9267862,SRR934744.1.6077427,SRR934744.1.250852	SRR934744.1.8380970,SRR934744.1.9130662,SRR934744.1.5525492	YES_LDAS	0.3617	GT	1.8323	AG	1.9219	[INTRACHROMOSOMAL[chr19:17.09Mb]]	SRP027383	SRR934744	Tumor	intrachrom	LINC00662	AP1M2	ENSG00000261824	ENSG00000129354	lncRNA_protein	AP1M2--LINC00662|LINC00662--AP1M2	Fusioncatcher|Zhao	NA|glioma
TTLL11--FIBCD1	4	3	ONLY_REF_SPLICE	TTLL11^ENSG00000175764.14	chr9:122092687:-	FIBCD1^ENSG00000130720.13	chr9:130911888:-	SRR934744.1.14733217,SRR934744.1.4476506,SRR934744.1.15354118,SRR934744.1.5705212	SRR934744.1.16289901,SRR934744.1.12649086,SRR934744.1.8722033	YES_LDAS	0.3617	GT	1.8323	AG	1.8062	[INTRACHROMOSOMAL[chr9:8.81Mb]]	SRP027383	SRR934744	Tumor	intrachrom	TTLL11	FIBCD1	ENSG00000175764	ENSG00000130720	protein_protein	FIBCD1--TTLL11|TTLL11--FIBCD1	Fusioncatcher|Zhao	NA|glioma
MGAT5--KIAA0825	3	2	ONLY_REF_SPLICE	MGAT5^ENSG00000152127.9	chr2:134270550:+	KIAA0825^ENSG00000185261.14	chr5:94417380:-	SRR934744.1.15507535,SRR934744.1.5991411,SRR934744.1.13483021	SRR934744.1.12835415,SRR934744.1.10162237	YES_LDAS	0.2583	GT	1.8062	AG	1.9329	[INTERCHROMOSOMAL[chr2--chr5]]	SRP027383	SRR934744	Tumor	interchrom	MGAT5	KIAA0825	ENSG00000152127	ENSG00000185261	protein_protein	KIAA0825--MGAT5|MGAT5--KIAA0825	Fusioncatcher|Zhao	NA|glioma
AHCYL2--TMEM178B	24	7	ONLY_REF_SPLICE	AHCYL2^ENSG00000158467.16	chr7:129397324:+	TMEM178B^ENSG00000261115.6	chr7:141470536:+	SRR934746.1.511243,SRR934746.1.1196159,SRR934746.1.5075012,SRR934746.1.5257221,SRR934746.1.1496482,SRR934746.1.23398709,SRR934746.1.22225999,SRR934746.1.15484390,SRR934746.1.4926249,SRR934746.1.22823763,SRR934746.1.6351532,SRR934746.1.1901960,SRR934746.1.22841911,SRR934746.1.6635627,SRR934746.1.9654103,SRR934746.1.17361742,SRR934746.1.19236140,SRR934746.1.8153908,SRR934746.1.13129015,SRR934746.1.10717079,SRR934746.1.10876283,SRR934746.1.11339617,SRR934746.1.6179196,SRR934746.1.1055782	SRR934746.1.17608060,SRR934746.1.21046748,SRR934746.1.17065315,SRR934746.1.1076828,SRR934746.1.21844696,SRR934746.1.3903336,SRR934746.1.19596891	YES_LDAS	1.3773	GT	1.9656	AG	1.9329	[INTRACHROMOSOMAL[chr7:11.64Mb]]	SRP027383	SRR934746	Tumor	intrachrom	AHCYL2	TMEM178B	ENSG00000158467	ENSG00000261115	protein_protein	AHCYL2--TMEM178B|AHCYL2--TMEM178B	Fusioncatcher|Zhao	NA|glioma
CLASRP--SYMPK	11	4	ONLY_REF_SPLICE	CLASRP^ENSG00000104859.15	chr19:45053177:+	SYMPK^ENSG00000125755.18	chr19:45844200:-	SRR934746.1.10496070,SRR934746.1.12718637,SRR934746.1.7801867,SRR934746.1.5985224,SRR934746.1.6707375,SRR934746.1.22210128,SRR934746.1.8398722,SRR934746.1.23086381,SRR934746.1.1720040,SRR934746.1.22886425,SRR934746.1.2845236	SRR934746.1.14494012,SRR934746.1.23691556,SRR934746.1.4193289,SRR934746.1.5099432	YES_LDAS	0.6664	GT	1.9656	AG	1.8892	[INTRACHROMOSOMAL[chr19:0.74Mb]]	SRP027383	SRR934746	Tumor	intrachrom	CLASRP	SYMPK	ENSG00000104859	ENSG00000125755	protein_protein	CLASRP--SYMPK|CLASRP--SYMPK	Fusioncatcher|Zhao	NA|glioma
